1|Кинстугхна|Марута, Кету, хоз. 10 дома|Действия, направленные на улучшение здоровья; религиозная деятельность.|Неблагоприятный день для важных дел.|ru
2|Бава|Индра, Солнце|Действия, направленные на улучшение здоровья; развитие, расширение, разработка чего-либо; выполнение религиозных обрядов, церемоний и духовных практик.||ru
3|Балава|Брахма, Луна|Благотворительность; выполнение религиозных обрядов, церемоний; обучение.||ru
4|Каулава|Митра, Марс|Знакомства, приобретение друзей, свидания, соглашения (контракты, договоры).||ru
5|Таитила|Вишвакарма, Меркурий|Выполнение действий, связанных с большим количеством народа, действий ведущих к известности, популярности; строительство.||ru
6|Гара|Бхуми, Юпитер|Занятия сельским хозяйством, возделывание земель, посевные работы; домоводство; строительство.||ru
7|Ваниджа|Лакшми, Венера|Торговля; наслаждение комфортом и роскошью; встречи, создание отношений.||ru
8|Вишти|Яма, Сатурн|Выполнять действия, направленные на разрушение врагов, препятствий.|Не выполнять благоприятных действий. Неблагоприятный день для важных дел.|ru
9|Бава|Индра, Солнце|Действия, направленные на улучшение здоровья; развитие, расширение, разработка чего-либо; выполнение религиозных обрядов, церемоний и духовных практик.||ru
10|Балава|Брахма, Луна|Благотворительность; выполнение религиозных обрядов, церемоний; обучение.||ru
11|Каулава|Митра, Марс|Знакомства, приобретение друзей, свидания, соглашения (контракты, договоры).||ru
12|Таитила|Вишвакарма, Меркурий|Выполнение действий, связанных с большим количеством народа, действий ведущих к известности, популярности; строительство.||ru
13|Гара|Бхуми, Юпитер|Занятия сельским хозяйством, возделывание земель, посевные работы; домоводство; строительство.||ru
14|Ваниджа|Лакшми, Венера|Торговля; наслаждение комфортом и роскошью; встречи, создание отношений.||ru
15|Вишти|Яма, Сатурн|Выполнять действия, направленные на разрушение врагов, препятствий.|Не выполнять благоприятных действий. Неблагоприятный день для важных дел.|ru
16|Бава|Индра, Солнце|Действия, направленные на улучшение здоровья; развитие, расширение, разработка чего-либо; выполнение религиозных обрядов, церемоний и духовных практик.||ru
17|Балава|Брахма, Луна|Благотворительность; выполнение религиозных обрядов, церемоний; обучение.||ru
